Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
BOURBON,,8.90E+12,BRITANNIA,,,,,,30,,,,BOURBON.JPG/.JPEG,,,,,,,,,,,,,
NUTRI CHOICE DIGESTIVE,,,BRITANNIA,,,,,,55,,,,NUTRICHOICEDIGESTIVE.JPG/.JPEG,,,,,,,,,,,,,
NUTRI CHOICE DIGESTIVE,,,BRITANNIA,,,,,,20,,,,NUTRICHOICEDIGESTIVE.JPG/.JPEG,,,,,,,,,,,,,
RED LABEL,,8.90E+12,BROOKE BOND,,,,,,210,,,,REDLABEL.JPG/.JPEG,,,,,,,,,,,,,
RED LABEL,,8.90E+12,BROOKE BOND,,,,,,390,,,,REDLABEL.JPG/.JPEG,,,,,,,,,,,,,
RED LABEL TEA,,8.90E+12,BROOKE BOND,,,,,,410,,,,REDLABELTEA.JPG/.JPEG,,,,,,,,,,,,,
RED LABEL TEA,,8.90E+12,BROOKE BOND,,,,,,110,,,,REDLABELTEA.JPG/.JPEG,,,,,,,,,,,,,
RED LABEL TEA,,8.90E+12,BROOKE BOND,,,,,,215,,,,REDLABELTEA.JPG/.JPEG,,,,,,,,,,,,,
RED LABEL TEA,,8.90E+12,BROOKE BOND,,,,,,140,,,,REDLABELTEA.JPG/.JPEG,,,,,,,,,,,,,
RED LABEL TEA NATURAL CARE,,8.90E+12,BROOKE BOND,,,,,,270,,,,REDLABELTEANATURALCARE.JPG/.JPEG,,,,,,,,,,,,,
CUSTARD POWDER,,8.90E+12,BROWN & POLSON,,,,,,35,,,,CUSTARDPOWDER.JPG/.JPEG,,,,,,,,,,,,,
CORNFLOUR,,8.90E+12,BROWN & POLSON,,,,,,25,,,,CORNFLOUR.JPG/.JPEG,,,,,,,,,,,,,
CORNFLOUR,,8.90E+12,BROWN & POLSON,,,,,,77,,,,CORNFLOUR.JPG/.JPEG,,,,,,,,,,,,,
COFFEE,,8.90E+12,BRU,,,,,,10,,,,COFFEE.JPG/.JPEG,,,,,,,,,,,,,
COFFEE,,8.90E+12,BRU,,,,,,2,,,,COFFEE2.JPG/.JPEG,,,,,,,,,,,,,
BOURNVITA,,8.90E+12,CADBURY,,,,,,223,,,,BOURNVITA.JPG/.JPEG,,,,,,,,,,,,,
BOURNVITA BOTTLE,,7.62E+12,CADBURY,,,,,,410,,,,BOURNVITABOTTLE.JPG/.JPEG,,,,,,,,,,,,,
BOURNVITA BOTTLE,,7.62E+12,CADBURY,,,,,,223,,,,BOURNVITABOTTLE.JPG/.JPEG,,,,,,,,,,,,,
BOURNVITA BOTTLE,,7.62E+12,CADBURY,,,,,,110,,,,BOURNVITABOTTLE.JPG/.JPEG,,,,,,,,,,,,,
BOURNVITA POUCH,,7.62E+12,CADBURY,,,,,,302,,,,BOURNVITAPOUCH.JPG/.JPEG,,,,,,,,,,,,,
BOURNVITA POUCH,,7.62E+12,CADBURY,,,,,,209,,,,BOURNVITAPOUCH.JPG/.JPEG,,,,,,,,,,,,,
HING,,,CATCH,,,,,,40,,,,HING.JPG/.JPEG,,,,,,,,,,,,,
DRY GINGER POWDER,,,CATCH,,,,,,68,,,,DRYGINGERPOWDER.JPG/.JPEG,,,,,,,,,,,,,
SODA,,8.91E+12,CATCH,,,,,,25,,,,SODA.JPG/.JPEG,,,,,,,,,,,,,
BLACK CURRENT SODA,,8.91E+12,CATCH,,,,,,50,,,,BLACKCURRENTSODA.JPG/.JPEG,,,,,,,,,,,,,
SHOW POLISH BLACK,,8.90E+12,CHERRY,,,,,,59,,,,SHOWPOLISHBLACK.JPG/.JPEG,,,,,,,,,,,,,
SHOW POLISH DARK TAN,,8.90E+12,CHERRY,,,,,,59,,,,SHOWPOLISHDARKTAN.JPG/.JPEG,,,,,,,,,,,,,
SHOE POLISH LIQUID DARK TAN,,8.90E+12,CHERRY,,,,,,85,,,,SHOEPOLISHLIQUIDDARKTAN.JPG/.JPEG,,,,,,,,,,,,,
SHOE POLISH LIQUID BLACK,,8.90E+12,CHERRY,,,,,,85,,,,SHOEPOLISHLIQUIDBLACK.JPG/.JPEG,,,,,,,,,,,,,
VEG HAKKA NOODLES,,8.90E+12,CHINGS,,,,,,30,,,,VEGHAKKANOODLES.JPG/.JPEG,,,,,,,,,,,,,
TOILET ROLL 3 PLY,,8.91E+12,CLARET,,,,,,360,,,,TOILETROLLPLY.JPG/.JPEG,,,,,,,,,,,,,
TISSUE PAPER 2 PLY,,8.91E+12,CLARET,,,,,,55,,,,TISSUEPAPERPLY.JPG/.JPEG,,,,,,,,,,,,,
REGULAR,,,CLASSIC,,,,,,330,,,,REGULAR.JPG/.JPEG,,,,,,,,,,,,,
MILD,,,CLASSIC,,,,,,330,,,,MILD.JPG/.JPEG,,,,,,,,,,,,,
ULTRA MILD,,,CLASSIC,,,,,,330,,,,ULTRAMILD.JPG/.JPEG,,,,,,,,,,,,,
BIG GOLDFLAKE,,,CLASSIC,,,,,,165,,,,BIGGOLDFLAKE.JPG/.JPEG,,,,,,,,,,,,,
TOOTHPASTE,,8.90E+12,CLOSEUP,,,,,,85,,,,TOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
COCO-COLA,,,COCA COLA,,,,,,40,,,,COCOCOLA.JPG/.JPEG,,,,,,,,,,,,,
