Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
COLGATE TOOTHPASTE 200+100+BRUSH,,8901314010131,COLGATE -PALMOLIVE,,,,,, 147.00 ,,,,,,,,,,,,,,,,,
COLGATE MAXFRESH SPICY FRESH TOOTHPASTE,,8901314308108,COLGATE -PALMOLIVE,,,,,, 164.00 ,,,,,,,,,,,,,,,,,
COLGATE MAXFRESH PEPPERMINT TOOTHPASTE,,8901314524010,COLGATE -PALMOLIVE,,,,,, 164.00 ,,,,,,,,,,,,,,,,,
COLGATE HERBAL TOOTHPASTE ,,8901314310033,COLGATE -PALMOLIVE,,,,,, 100.00 ,,,,,,,,,,,,,,,,,
COLGATE ACTIVE SALT NEEM TOOTHPASTE,,8901314009319,COLGATE -PALMOLIVE,,,,,, 100.00 ,,,,,,,,,,,,,,,,,
COLGATE ACTIVE SALT TOOTHPASTE,,8901314009081,COLGATE -PALMOLIVE,,,,,, 100.00 ,,,,,,,,,,,,,,,,,
COLGATE ACTIVE SALT TOOTHPASTE,,8901314009586,COLGATE -PALMOLIVE,,,,,, 55.00 ,,,,,,,,,,,,,,,,,
COLGATE CHARCOAL CLEAN TOOTHPASTE,,8901314312822,COLGATE -PALMOLIVE,,,,,, 99.00 ,,,,,,,,,,,,,,,,,
COLGATE VISIBLE WHITE TOOTHPASTE,,8901314077790,COLGATE -PALMOLIVE,,,,,, 99.00 ,,,,,,,,,,,,,,,,,
COLGATE CIBACA TOOTHPASTE,,8901314081018,COLGATE -PALMOLIVE,,,,,, 55.00 ,,,,,,,,,,,,,,,,,
COLGATE CIBACA VEDSHAKTI TOOTHPASTE,,8901314311948,COLGATE -PALMOLIVE,,,,,, 50.00 ,,,,,,,,,,,,,,,,,
COLGATE MAXFRESH SPICY FRESH TOOTHPASTE,,8901314309914,COLGATE -PALMOLIVE,,,,,, 92.00 ,,,,,,,,,,,,,,,,,
COLGATE MAXFRESH PEPPERMINT TOOTHPASTE,,8901314309921,COLGATE -PALMOLIVE,,,,,, 92.00 ,,,,,,,,,,,,,,,,,
COLGATE SWARNA VEDSHAKTI TOOTHPASTE,,8901314308085,COLGATE -PALMOLIVE,,,,,, 52.00 ,,,,,,,,,,,,,,,,,
COLGATE KIDS TOOTHPASTE,,8901314022660,COLGATE -PALMOLIVE,,,,,, 90.00 ,,,,,,,,,,,,,,,,,
COLGATE AMINO SHAKTI TOOTHPASTE,,8901314010025,COLGATE -PALMOLIVE,,,,,, 95.00 ,,,,,,,,,,,,,,,,,
COLGATE AMINO SHAKTI TOOTHPASTE,,8901314010520,COLGATE -PALMOLIVE,,,,,, 52.00 ,,,,,,,,,,,,,,,,,
COLIN,,8901396476009,COLIN,,,,,, 89.00 ,,,,,,,,,,,,,,,,,
COLIN,,8901396465003,COLIN,,,,,, 58.00 ,,,,,,,,,,,,,,,,,
HONEY,,8901207005374,DABUR,,,,,, 62.00 ,,,,,,,,,,,,,,,,,
HONEY,,8901207025365,DABUR,,,,,, 99.00 ,,,,,,,,,,,,,,,,,
HONEY,,8901207025372,DABUR,,,,,, 199.00 ,,,,,,,,,,,,,,,,,
GULAB JAL,,89005583,DABUR,,,,,, 28.00 ,,,,,,,,,,,,,,,,,
CHAVANPRASH,,8901207900631,DABUR,,,,,, 180.00 ,,,,,,,,,,,,,,,,,
ODOMOS MOSQUITO REPELLENT,,8901207500053,DABUR,,,,,, 90.00 ,,,,,,,,,,,,,,,,,
ODOMOS MOSQUITO REPELLENT,,8901207500046,DABUR,,,,,, 50.00 ,,,,,,,,,,,,,,,,,
GULABARI GULAB JAL,,89005590,DABUR,,,,,, 45.00 ,,,,,,,,,,,,,,,,,
GULABARI GULAB JAL,,89005606,DABUR,,,,,, 75.00 ,,,,,,,,,,,,,,,,,
DABUR MESWAK TOOTHPASTE,,8901207033377,DABUR,,,,,, 97.00 ,,,,,,,,,,,,,,,,,
DABUR RED TOOTHPASTE,,8901207027253,DABUR,,,,,, 52.00 ,,,,,,,,,,,,,,,,,
DABUR RED TOOTHPASTE,,8901207027321,DABUR,,,,,, 95.00 ,,,,,,,,,,,,,,,,,
HONEY,,8901207005374,DABUR,,,,,, 62.00 ,,,,,,,,,,,,,,,,,
HONEY,,8901207025389,DABUR,,,,,, 395.00 ,,,,,,,,,,,,,,,,,
HONEY,,8901207025372,DABUR,,,,,, 199.00 ,,,,,,,,,,,,,,,,,
HONEY,,8901207025365,DABUR,,,,,, 99.00 ,,,,,,,,,,,,,,,,,
HONEY SQUEEZY,,8901207026553,DABUR,,,,,, 160.00 ,,,,,,,,,,,,,,,,,
HAJMOLA,,8901207900839,DABUR,,,,,, 40.00 ,,,,,,,,,,,,,,,,,
5 STAR CHOCLATE,,8901233036625,DABUR,,,,,, 10.00 ,,,,,,,,,,,,,,,,,
CHAWANPRASH,,8901207900631,DABUR,,,,,, 180.00 ,,,,,,,,,,,,,,,,,
CHAWANPRASH,,8901207900648,DABUR,,,,,, 325.00 ,,,,,,,,,,,,,,,,,
CHAWANPRASH SUGARFREE,,8901207001635,DABUR,,,,,, 210.00 ,,,,,,,,,,,,,,,,,
CHAWANPRASH SUGARFREE,,8901207005671,DABUR,,,,,, 370.00 ,,,,,,,,,,,,,,,,,
ROZANA BASMATI RICE,,8901537006010,DAWAT,,,,,, 99.00 ,,,,,,,,,,,,,,,,,
OLIVE OIL,,8901246002167,DEL MONTE,,,,,, 850.00 ,,,,,,,,,,,,,,,,,
HANDWASH,,8901396387183,DETTOL,,,,,, 99.00 ,,,,,,,,,,,,,,,,,
DETTOL,,8901396387329,DETTOL,,,,,, 99.00 ,,,,,,,,,,,,,,,,,
DHAMPUR SUGAR,,8902195070627,DHAMPUR,,,,,, 65.00 ,,,,,,,,,,,,,,,,,
DHAMPUR GREEN SUGAR,,8901612000537,DHAMPUR,,,,,, 80.00 ,,,,,,,,,,,,,,,,,
CLEANZO WHITE PHENYL,,8908008172045,DIVYA SOAPS,,,,,, 250.00 ,,,,,,,,,,,,,,,,,
SHAMPOO,,8901030703812,DOVE,,,,,, 110.00 ,,,,,,,,,,,,,,,,,
SHAMPOO,,8901030707995,DOVE,,,,,, 230.00 ,,,,,,,,,,,,,,,,,
NAVRATAN COOL BLAST POWDER,,8901248121330,EMAMI,,,,,, 86.00 ,,,,,,,,,,,,,,,,,
BOROPLUS ANITSEPTIC CREAM,,8901248101431,EMAMI,,,,,, 150.00 ,,,,,,,,,,,,,,,,,
