Name,code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
BOROLINE ANTISEPTIC CREAM,8901531300015,code128,BOROLINE,C1,1111,,,38.00,38.00,,,,,,,,,,,,,,,Mr Demo Supplier,,38.00
TOPS VANILLA CUSTARD POWDER,8904288621112,code128,TOPS,C1,1111,,,38.00,38.00,,,,,,,,,,,,,,,Mr Demo Supplier,,38.00
VIM BAR ,8901030717048,code128,HUL,C1,1111,,,40.00,40.00,,,,,,,,,,,,,,,Mr Demo Supplier,,40.00
CLOSEUP EVERFRESH+,8901030788277,code128,HUL,C1,1111,,,40.00,40.00,,,,,,,,,,,,,,,Mr Demo Supplier,,40.00
HAJMOLA,8901207900839,code128,DABUR,C1,1111,,,40.00,40.00,,,,,,,,,,,,,,,Mr Demo Supplier,,40.00
MAIDA,8901524000410,code128,AHAR,C1,1111,,,40.00,40.00,,,,,,,,,,,,,,,Mr Demo Supplier,,40.00
SPRITE,8901764032271,code128,COCA COLA,C1,1111,,,40.00,40.00,,,,,,,,,,,,,,,Mr Demo Supplier,,40.00
THUMS UP,8901764042270,code128,COCA COLA,C1,1111,,,40.00,40.00,,,,,,,,,,,,,,,Mr Demo Supplier,,40.00
GARAM MASALA,8902167000782,code128,MDH,C1,1111,,,40.00,40.00,,,,,,,,,,,,,,,Mr Demo Supplier,,40.00
CHILLI POWDER,8904043927152,code128,TATA SAMPANN,C1,1111,,,40.00,40.00,,,,,,,,,,,,,,,Mr Demo Supplier,,40.00
TENDER COCONUT WATER TETRA ,8906009300504,code128,SHAKTI COCO,C1,1111,,,40.00,40.00,,,,,,,,,,,,,,,Mr Demo Supplier,,40.00
SOOJI,8901524001110,code128,AHAR,C1,1111,,,41.00,41.00,,,,,,,,,,,,,,,Mr Demo Supplier,,41.00
ZANDU ULTRA POWER PAIN RELIEF,8901248701129,code128,EMAMI,C1,1111,,,42.00,42.00,,,,,,,,,,,,,,,Mr Demo Supplier,,42.00
CLASSIC SALTED,8901512548405,code128,ACT II,C1,1111,,,44.00,44.00,,,,,,,,,,,,,,,Mr Demo Supplier,,44.00
GOLDEN SIZZLE,8901512548504,code128,ACT II,C1,1111,,,44.00,44.00,,,,,,,,,,,,,,,Mr Demo Supplier,,44.00
BOONDI,8904063200464,code128,HALDIRAM,C1,1111,,,44.00,44.00,,,,,,,,,,,,,,,Mr Demo Supplier,,44.00
GULABARI GULAB JAL,89005590,code128,DABUR,C1,1111,,,45.00,45.00,,,,,,,,,,,,,,,Mr Demo Supplier,,45.00
DOVE BATH SOAP,8901030795589,code128,HUL,C1,1111,,,45.00,45.00,,,,,,,,,,,,,,,Mr Demo Supplier,,45.00
VERMICELLI,8901242114406,code128,BAMBINO,C1,1111,,,45.00,45.00,,,,,,,,,,,,,,,Mr Demo Supplier,,45.00
NUT CRACKER,8901314010520,code128,HALDIRAM,C1,1111,,,45.00,45.00,,,,,,,,,,,,,,,Mr Demo Supplier,,45.00
ALOE VERA GEL,8904109400636,code128,PATANJALI,C1,1111,,,45.00,45.00,,,,,,,,,,,,,,,Mr Demo Supplier,,45.00
DANT KANTI NATURAL TOOTHPASTE,8904109450112,code128,PATANJALI,C1,1111,,,45.00,45.00,,,,,,,,,,,,,,,Mr Demo Supplier,,45.00
SOYA CHURA,8906032010999,code128,NUTRELA,C1,1111,,,45.00,45.00,,,,,,,,,,,,,,,Mr Demo Supplier,,45.00
SOYA MINI CHUNKS,8906032011019,code128,NUTRELA,C1,1111,,,45.00,45.00,,,,,,,,,,,,,,,Mr Demo Supplier,,45.00
SOYA BARI,8906032016571,code128,NUTRELA,C1,1111,,,45.00,45.00,,,,,,,,,,,,,,,Mr Demo Supplier,,45.00
TOOTHPASTE,8906032016571,code128,PATANJALI,C1,1111,,,45.00,45.00,,,,,,,,,,,,,,,Mr Demo Supplier,,45.00
MAAGIE MASALA 4 PACK,8901058851311,code128,NESTLE,C1,1111,,,46.00,46.00,,,,,,,,,,,,,,,Mr Demo Supplier,,46.00
ALL-IN-ONE,8904063200020,code128,HALDIRAM,C1,1111,,,46.00,46.00,,,,,,,,,,,,,,,Mr Demo Supplier,,46.00
BHUJIA,8904063200051,code128,HALDIRAM,C1,1111,,,46.00,46.00,,,,,,,,,,,,,,,Mr Demo Supplier,,46.00
SALTED PEANUT,8904063253842,code128,HALDIRAM,C1,1111,,,46.00,46.00,,,,,,,,,,,,,,,Mr Demo Supplier,,46.00
VIM BAR COMBO,8901030670183,code128,HUL,C1,1111,,,48.00,48.00,,,,,,,,,,,,,,,Mr Demo Supplier,,48.00
HIMALAYA GENTLE BABY SOAP,8901138511838,code128,HIMALAYA,C1,1111,,,48.00,48.00,,,,,,,,,,,,,,,Mr Demo Supplier,,48.00
EXO DISH WASHER,8902102199427,code128,JYOTHY LABROTRIES,C1,1111,,,48.00,48.00,,,,,,,,,,,,,,,Mr Demo Supplier,,48.00
AJWAIN,8906128400000,code128,GREENS,C1,1111,,,48.00,48.00,,,,,,,,,,,,,,,Mr Demo Supplier,,48.00
EZEE,8901023005800,code128,GODREJ,C1,1111,,,49.00,49.00,,,,,,,,,,,,,,,Mr Demo Supplier,,49.00
EZEE LIQUID WINTER AND CHIFFON,8901023005800,code128,GODREJ,C1,1111,,,49.00,49.00,,,,,,,,,,,,,,,Mr Demo Supplier,,49.00
KISSAN FRESH TOMATO SAUCE (REFFIL),8901030717376,code128,HUL,C1,1111,,,50.00,50.00,,,,,,,,,,,,,,,Mr Demo Supplier,,50.00
KETCHUP,8901030794193,code128,HUL,C1,1111,,,50.00,50.00,,,,,,,,,,,,,,,Mr Demo Supplier,,50.00
HIMALYA COMPLETE CARE TOOTHPASTE,8901138836092,code128,HIMALAYA,C1,1111,,,50.00,50.00,,,,,,,,,,,,,,,Mr Demo Supplier,,50.00
HANDWASH REFILL,8901138844745,code128,HIMALAYA,C1,1111,,,50.00,50.00,,,,,,,,,,,,,,,Mr Demo Supplier,,50.00
ODOMOS MOSQUITO REPELLENT,8901207500046,code128,DABUR,C1,1111,,,50.00,50.00,,,,,,,,,,,,,,,Mr Demo Supplier,,50.00
COLGATE CIBACA VEDSHAKTI TOOTHPASTE,8901314311948,code128,COLGATE -PALMOLIVE,C1,1111,,,50.00,50.00,,,,,,,,,,,,,,,Mr Demo Supplier,,50.00
CLASSIC SALTED COMBO,8901512540102,code128,ACT II,C1,1111,,,50.00,50.00,,,,,,,,,,,,,,,Mr Demo Supplier,,50.00
EVERYUTH TUSLI TURMERIC FACE WASH,8901548146767,code128,ZYDUS WELNESS,C1,1111,,,50.00,50.00,,,,,,,,,,,,,,,Mr Demo Supplier,,50.00
GINGER ALE,8901764211256,code128,SCHWEPPS,C1,1111,,,50.00,50.00,,,,,,,,,,,,,,,Mr Demo Supplier,,50.00
TONIC WATER ,8901764241253,code128,SCHWEPPS,C1,1111,,,50.00,50.00,,,,,,,,,,,,,,,Mr Demo Supplier,,50.00
TOPS PLAIN NOODLES,8904288627060,code128,TOPS,C1,1111,,,50.00,50.00,,,,,,,,,,,,,,,Mr Demo Supplier,,50.00
VI-JOHN SHAVING CREAM,8906010080433,code128,MAJA HEALTH CARE,C1,1111,,,50.00,50.00,,,,,,,,,,,,,,,Mr Demo Supplier,,50.00
DAL CHINI,8906128400239,code128,GREENS,C1,1111,,,50.00,50.00,,,,,,,,,,,,,,,Mr Demo Supplier,,50.00
BLACK CURRENT SODA,8908004804339,code128,CATCH,C1,1111,,,50.00,50.00,,,,,,,,,,,,,,,Mr Demo Supplier,,50.00
