"Product Code","Product Name",Variant,Expected,Counted
8901023005817,"EZEE LIQUID WINTER AND CHIFFON",,1000.0000,
8901023007408,"NO. 1 BATH SOAP",,1000.0000,
8901023008177,"CINTHOL BATH SOAP LIME",,1000.0000,
8901023011368,"FAIRGLOW BATH SOAP",,1000.0000,
8901023011719,"GOODNIGHT LIQUID",,1000.0000,
8901023014222,"PROTEKT HANDWASH BLUE",,1000.0000,
8901023014239,"PROTEKT HANDWASH GREEN",,1000.0000,
8901023014284,"KAKA HIT LIME FRESH",,1000.0000,
8901023014291,"KALA HIT LIME FRESH",,1000.0000,
8901023014512,"AER POCKET BATHROOM FRESHNER",,1000.0000,
8901023019265,"KALA HIT LIME FRESH",,1000.0000,
8901023019524,"AER ROOM FRESHNER",,1000.0000,
8901023019715,"GOODNIGHT MACHINE",,1000.0000,
8901023022012,"EZEE LIQUID 2 IN 1",,1000.0000,
8901030397943,"RED LABEL TEA",,2000.0000,
8901030450358,"RED LABEL TEA",,1000.0000,
8901030450389,"RED LABEL TEA",,2000.0000,
8901030456381,"TAAZA TEA",,1000.0000,
8901030516269,"KNORR HOT & SOUR VEGETABLE SOUP",,1000.0000,
8901030516276,"KNORR MIXED VEGETABLE SOUP",,1000.0000,
8901030516306,"KNORR THICK TOMATO SOUP",,1000.0000,
8901030518584,"REX BAKING POWDER",,1000.0000,
8901030518591,"BROWN & POLSON CORNFLOUR",,2000.0000,
8901030521218,CORNFLOUR,,1000.0000,
8901030534966,"KISSAN MIXED FRUIT JAM",,2000.0000,
8901030535048,"KISSAN MIXED FRUIT JAM",,2000.0000,
8901030535093,"KISSAN MIXED FRUIT JAM",,1000.0000,
8901030551956,"BROWN & POLSON CUSTARD POWDER",,2000.0000,
8901030553868,"LIPTON YELLOW LABEL",,1000.0000,
8901030556807,"SURF EXCEL MATIC FRONT LOAD",,1000.0000,
8901030561603,"TOMATO PUREE",,1000.0000,
8901030569180,"AXE DARK TEMPTATION DEO",,1000.0000,
8901030578205,"RED LABEL TEA NATURAL CARE",,1000.0000,
8901030611209,"AXE TEMPTATION AFTER SHAVE LOTION",,1000.0000,
8901030658754,"TAJ MAHAL TEA",,1000.0000,
8901030658761,"TAJ MAHAL TEA",,1000.0000,
8901030658778,"TAJ MAHAL TEA",,1000.0000,
8901030667756,"KISSAN FRESH TOMATO SAUCE (REFFIL)",,2000.0000,
8901030670183,"VIM BAR COMBO",,1000.0000,
8901030672682,"LIFEBUOY HAND WASH",,1000.0000,
8901030674303,"PEPSODENT GERMICHECK+ TOOTHPASTE",,1000.0000,
8901030674310,"PEPSODENT GERMICHECK+ TOOTHPASTE",,1000.0000,
8901030674570,"RED LABEL TEA",,1000.0000,
8901030676284,"DOVE DEEP PURE FACE WASH",,1000.0000,
8901030677038,"PEPSODENT GUMCARE9+ TOOTHPASTE",,1000.0000,
8901030677069,"PEPSODENT 2 IN 1 TOOTHPASTE",,1000.0000,
8901030682322,"LUX BATH SOAP",,1000.0000,
8901030682339,"LUX BATH SOAP",,1000.0000,
8901030686504,"TAAZA MASALA TEA",,1000.0000,
8901030691386,"SURF EXCEL EASY WASH",,1000.0000,
8901030699085,"KISSAN FRESH TOMATO SAUCE (BOTTLE)",,1000.0000,
8901030700194,"TRESEMME KERATIN SMOOTH SHAMPOO",,1000.0000,
8901030700743,"TRESEMME HAIRFALL DEFENCE SHAMPOO",,1000.0000,
8901030703607,"DOVE DRYNESS CARE SHAMPOO",,1000.0000,
8901030703812,SHAMPOO,,1000.0000,
8901030703829,"DOVE INTENSE REPAIR SHAMPOO",,1000.0000,
8901030704321,"DOVE DAILY SHINE SHAMPOO",,1000.0000,
8901030705885,"TRESEMME SMOOTH & SHINE SHAMPOO",,1000.0000,
8901030705915,"TRESEMME KERATIN SMOOTH SHAMPOO",,1000.0000,
8901030707995,"DOVE DAILY SHINE SHAMPOO",,2000.0000,
8901030710803,"SURF EXCEL MATIC TOP LOAD",,1000.0000,
8901030710810,"SURF EXCEL MATIC FRONT LOAD",,1000.0000,
8901030717048,"VIM BAR",,1000.0000,
8901030717376,"KISSAN FRESH TOMATO SAUCE (REFFIL)",,1000.0000,
8901030724350,"LIRIL BATH SOAP",,1000.0000,
8901030726910,"LIFEBUOY BATH SOAP",,1000.0000,
8901030731976,"FAIR & LOVELY INSTANT GLOW FACE WASH",,1000.0000,
8901030732423,"FAIR & LOVELY",,1000.0000,
8901030732430,"FAIR & LOVELY",,1000.0000,
8901030732874,"LAKME BLUSH GLOW FACE WASH",,1000.0000,
8901030733994,COFFEE,,1000.0000,
8901030734168,"VASELINE PETRO JELLY",,1000.0000,
8901030734182,"VASELINE PETRO JELLY",,1000.0000,
8901030735714,"COMFORT FABRIC CONDITIONER MORNING FRESH (BLUE)",,1000.0000,
8901030735721,"COMFORT FABRIC CONDITIONER ANTI-BACTERIAL (GREEN)",,1000.0000,
